Trait	Eigenvector1	Eigenvector2	Eigenvector3	Eigenvector4	Eigenvector5
PZA00133.3	0.00167	-2.5447E-2	-9.5226E-3	-6.4132E-3	0.00403
PZA03539.1	0.00244	-2.5899E-2	-7.4912E-3	-7.7343E-3	0.00332
PZA03390.1	-2.9624E-3	-1.4731E-3	-9.6853E-4	7.8659E-4	-2.9253E-2
PZB02235.5	0.02773	0.00798	-3.7203E-2	-5.5177E-3	0.01553
PZB02235.3	0.0102	7.7382E-5	0.02677	-1.3809E-3	-4.6237E-3
PZA00367.2	-4.8871E-3	-6.3454E-3	-8.1377E-3	5.8847E-4	0.01568
PZA01321.1	0.01648	0.03471	-2.5638E-2	-1.7719E-3	-4.7933E-3
PZA03692.1	-2.4971E-2	-5.4687E-3	0.00246	-4.6404E-2	-1.1395E-2
PZA03688.3	0.02583	0.01078	-6.0798E-4	0.04728	0.02424
PZA03690.1	-2.4116E-2	-5.2518E-3	0.00279	-4.6599E-2	-1.1311E-2
PZA03690.2	-1.9826E-2	-4.8031E-3	0.00417	-4.284E-2	-9.9199E-4
PZA02841.5	0.01468	0.04454	-2.6685E-2	0.00413	-4.465E-3
PZA03418.1	-4.2888E-3	0.00261	0.00807	-6.274E-3	-3.0783E-3
PZA03418.2	-3.3603E-3	3.6397E-5	0.00683	-4.3833E-3	-5.0056E-3
PZA01638.1	0.02767	0.01615	-2.8864E-2	4.6005E-4	-1.1916E-3
PZA00515.10	0.01465	0.0224	-2.9943E-2	-7.5209E-3	-1.7796E-2
PZA00637.4	-1.035E-2	0.00494	0.0134	0.04884	0.04648
PZA03708.1	-1.7132E-2	0.00376	0.01443	-2.8881E-2	0.01547
PZA03707.1	-1.817E-2	0.00125	0.0146	-3.1131E-2	0.01471
PZA00495.5	-2.8747E-2	0.00372	0.01056	-2.9451E-2	0.02248
PZA00495.3	-2.4441E-2	-8.4477E-4	0.01062	-2.5945E-2	0.0281
PZA00495.4	-2.6015E-2	-2.0883E-3	0.00909	-3.4257E-2	0.02349
PZA03644.2	-1.667E-2	0.01082	0.00675	0.00491	0.00835
PZA03644.3	-6.1472E-3	2.6633E-4	0.03021	0.04682	0.00498
PZA03644.1	0.03427	-4.0443E-2	-3.8656E-2	-5.1268E-2	0.00957
PZA03659.2	-3.8523E-4	0.05149	-1.8705E-2	-7.0577E-3	-4.8175E-3
PZA03659.1	0.00356	0.04432	-1.8676E-2	-5.0904E-3	2.3091E-4
PZA03659.4	-3.8709E-3	-1.2035E-2	-4.2142E-3	0.04725	0.01133
PZA03660.1	3.6151E-4	-1.803E-2	-3.0496E-3	-2.81E-2	0.01526
PZA03661.3	-3.2992E-3	-2.2795E-2	0.00471	-3.7944E-2	-7.1866E-3
PZA03661.1	-1.8366E-3	-2.019E-2	0.009	-3.3072E-2	-8.854E-3
PZA00224.4	-1.2677E-2	-3.7073E-2	-6.5666E-3	-1.8959E-3	3.1049E-4
PZA00224.3	-1.6985E-2	0.02723	7.6442E-4	-1.285E-3	-4.5643E-3
PZA03286.1	-7.1198E-3	0.0133	-2.5933E-3	-6.6229E-4	-9.3921E-3
PZA03184.1	0.04043	0.00232	0.00811	-8.091E-3	-3.0941E-3
PZA03184.2	0.03176	0.01817	-2.9132E-2	0.00662	-8.5811E-3
PZA03184.3	0.03939	-6.9915E-3	0.01122	-2.855E-2	0.00335
PZA03528.1	-1.9598E-2	0.01274	0.01203	-2.6836E-3	-3.2825E-3
PZA03528.2	0.00486	0.00309	-5.309E-3	-1.4341E-3	-9.4145E-3
PZA03529.1	-2.025E-2	-4.9278E-3	0.00544	-1.55E-2	-1.0304E-2
PZA03529.4	-6.0438E-3	-8.3223E-3	-2.6467E-5	-6.1374E-3	-3.2807E-3
PZA00611.1	-1.405E-2	-1.4533E-3	0.00519	-1.3077E-2	0.00208
PZA02890.5	8.6359E-4	3.4048E-4	-7.4371E-3	-4.1563E-3	-1.8615E-2
PZA02890.4	-7.1975E-4	-5.1042E-2	-2.1637E-2	-7.674E-3	0.00846
PZA02890.3	0.00146	-3.8967E-2	-1.6243E-2	-1.6638E-2	0.00956
PZA00533.3	0.00122	-1.3359E-3	-5.3E-3	-5.0912E-3	-7.3141E-3
PZD00042.2	-6.465E-3	0.00839	-2.4642E-4	-1.6886E-3	-6.6629E-3
PZA00479.9	-9.6283E-3	0.02014	-3.315E-3	0.00112	-8.9818E-3
PHM3055.9	-1.0731E-2	-1.6766E-2	-1.4087E-2	0.00146	-2.5437E-2
PZA03384.1	0.00157	-9.8295E-3	0.00694	-1.418E-3	-1.4447E-2
PZA03144.1	-1.8808E-2	-1.0225E-2	-1.5496E-2	0.01119	0.01702
PZA00824.2	0.01738	-1.4766E-2	-4.0113E-2	-5.4403E-3	-2.4328E-2
PZA03641.1	-1.5514E-3	-8.3315E-3	-5.9099E-3	-3.6946E-4	-3.1011E-2
PHM3668.12	-1.5585E-2	-8.2335E-3	0.03565	0.00875	0.02582
PZA02017.1	0.02766	0.01809	-1.5349E-2	0.00835	3.049E-4
PHM7953.11	0.02553	-1.7232E-2	0.01093	0.02952	0.01953
PZA00803.3	0.01661	0.02931	-2.5755E-2	0.03989	-2.6234E-3
PZA00340.1	4.3881E-4	-2.0291E-2	-2.0754E-2	-1.5024E-2	-3.252E-2
PZA02731.1	0.01261	0.00917	-2.6954E-4	0.00639	-4.1423E-2
PZB01267.1	0.02211	-8.1202E-3	-3.3506E-2	-5.6529E-3	-1.5176E-3
PZB01267.2	0.03223	-3.4421E-2	0.01224	0.01656	-1.8831E-2
PZB02013.1	0.02225	-3.4554E-3	-3.228E-2	-7.7979E-3	-1.0662E-2
PZB02013.2	0.02209	-8.6083E-3	-3.4122E-2	-5.882E-3	-4.2534E-3
PZB02013.3	0.0218	-7.2176E-3	-3.3354E-2	-4.0833E-3	-2.025E-3
PZB01261.1	0.0222	-3.8032E-3	-3.1299E-2	-1.2818E-2	0.00157
PHM16125.47	0.03255	0.00263	-3.6101E-2	0.01448	0.03013
PZB01103.2	-2.0141E-2	-1.9576E-2	-2.3261E-3	0.01047	0.00482
PZB01103.1	0.00186	-5.3373E-2	0.02773	-1.1853E-2	0.00829
PZA00725.4	0.02588	-7.4875E-3	-3.5902E-2	-8.4994E-3	0.01025
PZA00725.1	0.02587	-1.033E-2	-3.649E-2	-1.4049E-2	0.01555
PZA03163.4	0.01605	-3.6493E-2	0.04172	-1.7241E-2	0.00438
PZA03165.1	-1.1136E-2	-6.3E-3	0.04721	-2.5055E-2	0.00273
PZA03163.2	4.2964E-4	-2.405E-2	0.0424	-1.3697E-2	-6.9527E-3
PZA01885.2	-3.2086E-3	0.01596	-1.117E-2	0.00992	0.00798
PZA00390.7	0.01651	0.01046	-1.5519E-2	0.01518	8.2685E-4
PZA02964.7	0.0262	-4.2974E-3	0.01076	0.00351	-2.1726E-2
PZB00772.2	-1.8807E-3	8.7165E-4	-1.0669E-3	-1.073E-2	0.00281
PZB00772.7	0.02561	-1.1469E-2	0.01103	-1.1676E-2	-1.0861E-2
PZB00772.1	-2.4989E-2	0.01703	0.00205	-1.9203E-2	0.00365
PZB00772.4	-3.652E-3	-8.108E-4	4.8038E-4	0.00985	0.00756
PZA03602.1	-5.6081E-3	0.0185	-3.7088E-3	0.01919	0.00627
PZA03602.2	-1.5765E-2	0.01667	0.00227	0.01088	0.00527
PZA03601.3	-3.6103E-3	0.0044	0.00477	-7.0861E-3	8.1307E-4
PZA03601.1	0.02051	-3.8022E-2	-3.4222E-3	-3.4408E-2	-8.1126E-3
PZA03600.1	0.00385	0.00687	-1.8406E-2	-5.7041E-3	0.03308
PZA02456.1	0.01699	0.00964	-1.8021E-2	0.00186	-4.0055E-3
PZB01234.5	-4.6205E-3	-2.8093E-2	-1.3515E-2	-3.2472E-2	0.01604
PZA03293.1	0.0065	0.02657	0.01152	0.01668	0.01716
PZA02680.1	0.01418	0.02247	-1.2726E-2	0.00819	-2.9355E-5
PZA00676.2	-1.6398E-2	0.02148	0.00463	0.01237	0.00346
PZA02989.5	-3.6386E-3	-1.2836E-2	-6.2693E-3	-1.2078E-2	7.66E-4
PZA03169.1	0.00333	-1.0712E-2	-5.1041E-3	0.00132	0.01166
PZA03169.2	-8.8738E-3	-3.4652E-2	-9.4007E-3	-1.2715E-2	0.02939
PZA02418.2	0.01969	-2.0001E-5	0.00973	0.04858	0.00379
PZA00527.6	-1.81E-3	-6.0246E-3	-1.8462E-2	-8.2137E-3	-2.1419E-2
PZA00527.5	-2.2744E-2	-2.8924E-3	0.00727	0.01132	0.01367
PZA00527.10	0.02509	0.00657	0.0293	-6.4365E-3	0.00268
PZA00164.1	-8.2741E-3	0.01457	-9.5609E-3	-2.2763E-2	0.00262
PZA02453.1	0.01334	0.03204	0.0157	-9.6397E-4	0.00266
PZA00163.4	0.03107	0.02086	-1.0423E-2	-2.2252E-2	-1.4629E-4
PZA01991.3	0.01056	0.0246	0.01357	0.00304	-1.8494E-2
PZB00139.1	-5.05E-3	-3.1733E-2	-1.3553E-2	0.00976	6.6539E-4
PZA00487.24	-7.5905E-3	0.00239	0.00544	-1.1899E-2	-1.4946E-2
PZA00487.16	-5.6233E-3	-1.5795E-2	6.8954E-4	0.00376	0.03502
PZB01013.3	-1.8825E-2	0.01349	-1.4055E-2	-8.6702E-3	0.03405
PZB01013.1	0.03683	0.01149	0.01881	0.01161	-3.7226E-3
PZB01013.2	-1.5542E-2	0.01742	9.3668E-4	-5.4644E-3	0.02038
PZB01013.4	5.9996E-4	-1.045E-2	-3.8343E-3	-1.0183E-2	-1.449E-2
PZA01895.1	0.03272	0.01178	-6.6835E-3	-9.1076E-3	0.01584
PZA01352.5	0.01528	0.01499	-1.4312E-3	-2.2732E-2	0.02661
PZA02727.1	0.0168	0.01994	0.01591	-5.8495E-4	0.01511
PZA00121.1	-1.4317E-2	-5.7268E-3	-1.3117E-2	0.02303	0.00186
PZA00121.10	-1.4665E-2	6.33E-4	-5.6704E-3	0.02522	-1.4484E-2
PZA00672.6	-6.4632E-3	5.1457E-4	2.1744E-4	0.0104	-1.7471E-2
PZD00022.5	-2.2067E-2	-2.2774E-3	0.00453	-2.0528E-2	-2.6843E-2
zap1.2	-6.1292E-3	-3.3092E-2	-1.8756E-2	0.0173	0.02486
zap1.3	0.00647	-1.643E-2	-8.027E-3	-1.7309E-2	-1.8148E-3
zap1.5	0.00803	0.00172	-2.4772E-3	-8.5661E-3	-1.0654E-2
PZD00022.3	-3.0214E-3	-2.6648E-3	-6.4551E-3	-1.5036E-2	5.9797E-5
zap1.7	0.003	-5.9901E-3	-8.7292E-3	0.01995	0.00284
PZD00022.1	0.00244	-6.6015E-3	-8.9456E-3	0.02205	0.00349
PZA03576.4	-2.69E-3	-5.0003E-3	-3.9294E-3	-5.4804E-3	-1.952E-2
PZA03576.1	0.00719	0.02086	-2.4105E-2	0.00596	-2.1127E-3
PZA03577.2	0.0024	0.01183	0.03978	0.00283	-2.7515E-3
PZA03577.1	0.01915	0.01802	-1.9727E-2	0.00545	0.00723
PZA03321.1	0.0146	-2.4489E-2	0.01987	-2.7519E-2	-1.6437E-2
PZA03321.4	0.02302	0.01147	-2.5562E-2	0.02743	0.00779
PZA00309.1	0.03704	9.1659E-4	0.01339	2.6173E-4	-1.0645E-2
PZA00134.12	-5.9511E-3	9.3015E-4	4.7757E-5	0.0059	0.00612
PZA00615.6	-3.9465E-3	-5.6278E-3	-6.2381E-3	-5.9685E-3	-4.6938E-3
PZA00615.3	-1.0089E-2	0.00848	0.00231	-6.5768E-3	0.00125
PZA02090.1	-3.0081E-2	0.02682	0.04338	0.01888	0.01423
PZD00038.3	0.03691	-5.0836E-3	0.00778	0.02185	1.6918E-4
PZD00038.1	-8.1507E-4	-4.227E-2	-1.0209E-2	-1.5951E-2	-2.3149E-3
PZA02678.1	0.00803	0.01276	-1.9502E-2	-1.8869E-3	0.01539
PZA00100.9	-1.367E-2	0.00688	0.00305	-3.5886E-3	0.00178
PHM12859.7	-1.487E-2	0.05088	-1.673E-2	-1.1552E-2	-1.1653E-2
PZA00100.2	-1.3222E-2	0.04606	-1.733E-2	-1.8565E-3	-1.0583E-2
PZA00458.6	0.0139	0.01338	-2.2443E-2	-1.072E-2	-1.437E-2
PZA00458.1	-1.2535E-2	0.04657	-1.7958E-2	-1.8925E-4	-9.8431E-3
PZA03527.3	-3.1276E-4	-1.5792E-2	-2.5723E-4	-2.6785E-2	0.01438
PZA03527.2	0.00554	0.00915	-1.0143E-2	-1.5863E-2	0.00428
PZA03527.1	0.01125	0.01474	0.00776	0.01475	-3.7855E-2
PZA03212.3	0.01584	0.02064	-2.0178E-2	0.00824	0.00395
PZA00749.1	0.01541	0.0105	-1.7954E-2	0.00497	0.01581
PZB01947.1	-1.4427E-2	0.01451	6.0148E-4	-3.4272E-3	-4.0943E-2
PZA03525.1	-1.1754E-3	-3.8892E-3	-4.5161E-3	0.00354	0.0114
PZB01940.1	-4.0043E-3	-2.0902E-2	-3.6391E-3	0.00934	-9.697E-3
PZA03283.2	-6.3432E-3	-3.2279E-2	-6.3451E-3	0.00569	0.02411
PZA03283.1	-2.4693E-2	0.01785	-4.6271E-3	-5.0283E-3	-4.0554E-2
PZA00537.4	-1.6869E-3	-1.2528E-2	-2.5612E-3	0.00334	-2.409E-2
PZB00064.1	0.00183	-4.1643E-2	-1.4843E-2	-3.2324E-2	0.01257
PZB00112.1	0.00555	0.00159	0.02736	0.00207	-2.6721E-3
PZA01765.1	0.02265	0.0271	-3.4889E-2	-2.3449E-2	0.02898
PZA03009.5	0.02839	-9.2404E-3	0.01929	0.00158	-2.1315E-2
PZA03009.6	-1.5328E-3	-2.5651E-3	0.00929	-2.0256E-3	4.1852E-4
PZA03009.7	-2.8144E-2	0.00527	-1.5699E-4	-1.4895E-3	0.00251
PZA00508.2	-1.8735E-2	0.02206	-2.0935E-2	-1.7022E-2	-2.448E-2
PZA03145.1	0.00287	0.03474	-2.5618E-2	0.03065	0.02767
PZA02855.14	4.5569E-4	-1.7241E-2	-1.7135E-2	0.02242	0.01121
PZA02855.17	-4.0633E-3	-2.0351E-2	-1.5422E-2	0.02167	-2.3257E-2
PZA02855.22	-9.1722E-3	-1.2644E-2	-5.7161E-3	-1.8256E-2	-4.1163E-2
PZA03309.1	-1.3132E-3	0.00137	0.00632	-7.9557E-3	0.00195
PZA03185.1	0.02814	-7.9391E-3	0.00689	0.00162	0.02892
PZA02427.1	-3.1063E-2	-2.3631E-3	-1.3565E-2	0.00498	0.01847
PZA00645.1	-5.0616E-4	-2.6274E-2	-1.2738E-2	-7.8416E-3	0.00259
PZB01964.4	-8.4159E-3	0.01072	0.00187	-1.6265E-3	-8.0204E-3
PZB01964.3	0.04238	0.00839	-5.4228E-3	0.00769	-1.1775E-2
PZB01964.5	-3.8037E-3	-1.0653E-2	-8.3071E-4	-1.1967E-2	-3.1905E-3
PZB01964.1	0.03132	0.01412	-5.8233E-3	0.03074	0.00434
PHM2343.25	-1.4235E-2	-2.6138E-2	0.01244	0.01082	0.01866
PZA00210.9	-5.8074E-3	-1.2154E-2	0.00886	0.01584	-5.2049E-4
PZA00210.1	-2.3216E-2	-1.4897E-3	-2.0853E-2	-3.3408E-3	-2.1571E-3
PZA03054.10	0.00829	-3.0429E-2	-2.2691E-2	-2.388E-2	0.04317
PZA03054.5	0.03772	0.0195	0.01752	0.00556	-4.8693E-3
PZA03054.3	-2.9791E-2	0.02336	0.00569	0.0375	-2.9023E-2
PZA01473.1	0.03784	0.01802	0.00407	0.00536	0.00124
PZA00348.11	-1.6128E-2	-3.3243E-2	-3.544E-2	0.00926	0.0078
zb21.1	0.02725	0.02168	0.00317	0.01058	0.01349
PZA00380.5	0.02416	-2.0771E-5	0.00117	0.00271	-4.7095E-2
PZA00380.7	-7.5612E-3	0.00418	-6.088E-3	-3.1557E-2	0.01541
PZA00297.2	0.04303	-8.0924E-3	-2.7246E-3	-2.141E-2	-5.0542E-2
PZA00297.3	0.04374	-9.1665E-3	-2.4318E-3	-2.4522E-2	-5.1304E-2
PZA01114.2	0.03601	-1.0136E-2	0.0084	0.03821	-5.4014E-2
PZA03070.9	-1.3801E-2	-1.5869E-2	0.00896	-2.1698E-2	0.00307
PZA03070.7	-1.4111E-2	-1.4563E-2	0.00404	-2.2768E-2	-2.4165E-2
PZA03070.6	-1.4539E-2	-1.823E-2	7.7666E-4	-2.3121E-2	-2.3238E-2
PZA03070.5	-1.5811E-2	-6.0463E-3	-2.0365E-3	-1.832E-2	0.01573
PHM15899.9	0.0383	0.0148	0.00643	0.0039	-4.1729E-3
PZA03269.1	0.00896	-1.1565E-2	-1.3058E-2	-1.7155E-2	0.01098
PHM15474.5	-3.1245E-2	0.00302	-5.8531E-3	0.03458	-2.4632E-2
PZA01447.1	0.03615	-3.1717E-2	-5.2482E-3	-2.9365E-2	0.01888
PZA03119.1	0.02226	0.006	0.01233	0.03999	-5.23E-2
PZA03119.3	-1.1368E-2	-4.8599E-4	-1.9811E-3	-8.8528E-3	-1.2261E-2
PZA00265.6	-2.1356E-2	-6.3026E-3	-3.9845E-3	0.01342	-1.825E-2
PZA00265.4	-1.0699E-2	-2.1562E-3	0.00223	-1.726E-2	-1.5584E-2
PZA00627.1	-1.8303E-2	-1.192E-2	-5.3248E-3	0.02066	0.00615
PHM2324.23	0.03745	0.01242	0.01394	0.0031	0.00182
PZA03242.1	-9.4067E-6	-1.1688E-2	0.00188	-1.5535E-2	-1.8485E-2
PZA02699.1	0.03308	-1.6006E-3	0.01706	0.01582	-8.0735E-3
PZA00414.27	-1.3361E-2	0.0225	0.01841	-2.0328E-2	0.00966
PZA02134.3	0.03719	0.00342	0.00708	0.00617	0.01384
PZA00608.1	-2.6361E-2	0.01562	0.0026	0.02257	0.01618
PHM5502.31	-2.5479E-2	0.01224	0.00586	0.02506	0.02467
PZA00621.2	0.00132	-1.0785E-2	-5.5421E-3	-1.5517E-2	-5.4333E-3
PZA00109.3	-1.132E-2	0.00127	0.02262	-3.9955E-2	0.02018
PZA02742.1	0.01632	0.02597	0.00909	-6.0862E-3	-9.7626E-3
PZA02645.2	0.03445	-6.5573E-3	0.00241	-7.8378E-3	-2.6055E-2
PZB02484.1	0.03968	-7.0047E-4	-3.1863E-4	-1.1344E-2	-2.9994E-2
PZA03761.3	-1.0793E-2	8.9471E-5	-7.5083E-5	-9.8437E-3	0.01033
PZA00707.9	-1.4429E-2	0.00649	0.00537	-1.3797E-2	0.01688
PZA03760.2	-1.1679E-2	0.00122	0.00519	-1.0799E-2	0.00997
PZA03760.1	-4.9993E-3	0.00332	0.00123	-5.4261E-3	0.00686
PZA03302.1	-1.6022E-2	-2.6964E-2	-2.9031E-3	0.03795	-5.7492E-3
PZA03302.2	6.0146E-4	-8.8541E-3	-1.9694E-3	0.00298	0.01837
PZA03302.3	0.01073	0.01764	0.00647	-2.7096E-2	0.01166
PZA02619.1	0.03552	0.0132	0.00249	-6.7894E-5	-3.6763E-3
PZB00037.1	-3.3244E-2	0.03034	-3.6272E-3	0.00364	0.01768
PZB00037.2	-4.1309E-3	0.00903	0.0159	6.8863E-4	-6.5729E-3
PZB00037.3	-3.0993E-2	0.03073	-4.1361E-3	0.00495	0.0195
PZB00451.1	-3.2477E-2	0.03044	-3.4733E-3	0.0035	0.0207
PZB00035.1	-2.8815E-2	0.02871	-5.816E-3	0.00265	0.01917
PZA03729.1	-9.2319E-3	-3.7545E-2	-1.5725E-3	0.01602	0.00631
PZA03730.1	-1.8004E-2	0.01236	-6.0429E-4	-8.1222E-4	-2.7455E-2
PZA03730.2	-2.154E-3	-6.3513E-3	9.0436E-5	-8.1526E-3	-5.947E-3
PZA03198.3	0.03723	0.00916	-7.3729E-3	-2.0877E-2	-1.6671E-2
PHM15449.10	-3.0632E-2	0.02661	-1.6139E-2	-2.5442E-2	-2.2373E-2
PZA00413.2	0.02292	0.00594	0.00839	-2.6975E-2	0.0034
PZA00413.18	-1.3463E-2	-4.8512E-3	-6.7473E-3	0.00713	-1.2436E-2
PZD00016.4	0.02717	-1.9047E-3	-2.1621E-2	-2.2339E-2	0.02062
PZD00015.5	0.02677	-1.0368E-2	-2.6398E-2	-2.8859E-2	0.01258
PZD00014.4	0.0197	-3.3245E-3	-2.3547E-2	-2.316E-2	0.01769
PZB02002.1	0.02787	-5.5701E-3	-2.4257E-2	-2.6021E-2	0.01952
PZA02888.3	-1.0522E-2	0.01084	0.00752	-3.3494E-3	-2.3815E-2
PZA03264.1	-2.6967E-3	-1.1785E-2	-4.1996E-3	0.00319	-1.1683E-2
PZA03122.1	-6.6392E-3	-1.3169E-2	-9.7323E-3	0.04412	0.01058
PZA00254.3	0.0053	-2.2256E-2	0.04013	0.04183	-2.4058E-2
PZA00114.3	-3.0226E-2	0.00557	-2.1496E-3	0.02293	0.0055
PZA00920.1	-2.7926E-2	-1.6891E-2	-3.3528E-3	0.0106	-1.3206E-2
PHM890.20	0.01652	0.02195	-1.6106E-2	0.00217	0.00426
PZA02906.7	-9.2638E-3	-1.112E-2	0.00369	-2.351E-2	0.00246
PZB02044.1	0.02461	0.03185	-3.2847E-2	0.0092	0.01542
PZB02044.3	-1.0343E-2	-2.7233E-3	-2.2585E-3	-1.9626E-2	-6.3825E-3
PZB02044.2	0.01045	0.02183	-2.3876E-2	-1.4437E-2	0.02549
PZB02122.1	0.00103	-3.738E-3	0.0401	-1.2346E-2	-1.7632E-2
PZA03541.2	-2.6367E-3	-1.4894E-2	0.04413	-1.3935E-2	-6.5964E-4
PZA03541.3	0.01751	0.0235	-1.6089E-2	-7.0867E-3	0.00625
PZA03541.4	0.00914	-3.9597E-3	0.03382	-1.3106E-4	-1.1153E-2
PZB00228.6	-1.3593E-2	-3.8683E-2	-2.3356E-2	0.02941	0.03739
PZB00228.4	-1.0427E-2	0.00336	0.01437	0.0139	8.8812E-4
PZB00228.5	-2.2745E-3	-5.2834E-3	-4.749E-3	-1.0639E-2	-6.1442E-3
PZB00228.2	0.03474	0.00611	0.01662	-1.4848E-2	0.00771
PZB00274.4	-1.27E-3	-3.6267E-2	-1.6988E-2	-1.9813E-2	0.01745
PZB00274.5	0.03943	0.00221	0.01689	-1.2696E-2	0.0045
PZA00827.1	0.01558	-2.8981E-2	-2.9103E-2	-3.1649E-2	0.04518
PZA03658.1	-3.3274E-2	0.00912	0.00138	0.00346	-1.878E-3
PZA00507.11	0.00513	-5.1282E-2	0.0249	-8.0808E-3	0.00343
PZB01683.2	-3.4755E-3	-3.3726E-2	-1.7435E-2	0.01683	-1.0447E-2
PZB01683.3	-4.1204E-3	-1.7031E-2	-2.1542E-2	0.01055	-6.9267E-3
PZA00391.2	-1.3623E-2	0.01413	0.00352	-9.9835E-3	-1.9576E-2
PZA00948.1	-9.3725E-3	-1.5755E-2	0.01304	-9.2102E-3	-3.8283E-2
PZA03019.8	-8.1262E-3	0.00818	7.0471E-4	-5.897E-4	-8.3143E-5
PZB02179.1	-4.9582E-3	0.04103	-3.6489E-2	0.03261	-3.0817E-2
PZB02179.2	-3.6078E-3	0.03671	-3.7293E-2	0.03634	-2.8782E-2
PZB02179.5	0.01167	-1.8714E-2	0.03693	-2.6764E-2	0.03648
PZA00828.2	0.02697	0.02345	-2.3784E-2	0.00469	7.7105E-4
PZA02944.12	0.00127	-3.0589E-2	-7.4515E-3	-1.6635E-2	-1.9351E-2
PZA02944.10	0.02032	-4.2826E-2	0.03424	-1.84E-2	-1.2138E-2
PHM9914.11	-8.799E-3	-2.3684E-2	-2.2903E-2	-1.0588E-2	0.0157
PZA00667.1	0.01107	0.00151	-4.2821E-2	0.01624	-2.8194E-2
PZA00667.2	0.01092	0.00348	-4.1746E-2	0.01638	-2.6846E-2
PZD00003.3	-1.3108E-2	-4.4503E-3	-9.6097E-4	-3.3764E-2	0.02937
PZB01856.4	-3.6064E-3	-7.1717E-3	-8.2808E-3	-3.2817E-3	-4.2946E-2
PZB01856.1	-4.1677E-3	0.02769	-3.1251E-2	0.00105	0.0425
PZB01856.2	-3.6718E-3	-4.6597E-3	0.00464	-4.9475E-3	-4.0295E-2
PZD00006.1	-3.4613E-3	-3.2013E-2	-1.0976E-2	-8.148E-3	-4.1232E-2
PZD00008.3	-4.0145E-3	-3.2701E-2	-7.9764E-3	-1.0881E-2	-4.5487E-2
te1.4	0.00344	0.01092	0.0368	-1.1304E-2	-3.1102E-3
te1.1	-5.325E-3	0.02787	-2.7941E-2	0.023	0.04502
PZD00007.1	0.00379	0.01076	0.03708	-9.1878E-3	-2.5666E-4
PZA01396.1	0.00389	0.02921	-3.1788E-2	-5.8452E-3	-1.4368E-2
PZA00186.2	-2.081E-2	0.00141	0.00544	0.00713	-3.2304E-3
PHM2885.31	0.02416	0.01338	-2.5949E-2	0.00132	-3.5849E-3
PZB01933.1	-2.0191E-2	0.00817	-1.0476E-3	0.00281	-1.3995E-3
PZB01933.2	0.00509	-9.8094E-3	-7.9331E-3	-8.2666E-3	-5.835E-3
PHM1959.26	-2.2007E-2	0.02906	0.03741	-2.1916E-2	-3.7149E-2
PZA03073.28	0.02763	-5.7843E-3	-4.2948E-2	0.01761	0.01458
PZA03073.23	0.02767	-3.6414E-3	-3.9344E-2	0.02361	0.02648
PZA03073.24	-1.0556E-2	-1.6256E-2	-1.1011E-3	0.00883	-3.1298E-2
PZA03073.25	-1.673E-2	0.0236	0.0414	-2.7082E-2	5.963E-4
PZD00027.1	-1.8525E-2	-1.0839E-2	-8.5945E-3	-4.0921E-3	-7.5016E-4
PZD00027.2	0.02027	0.01085	0.02286	0.0391	-2.9608E-4
PZA02402.1	-1.4159E-2	0.0202	0.00296	-8.373E-4	-1.1592E-3
PZA03032.17	0.00661	0.02464	-2.2611E-2	-6.3521E-3	-1.4808E-2
PZA03032.16	-1.0406E-2	-2.5948E-2	-1.7464E-2	0.01516	-1.0254E-2
PZA03032.19	0.00869	0.02253	-1.7017E-2	-4.439E-3	-1.485E-2
PZA00783.1	0.01535	0.01241	-2.5218E-2	0.01023	0.01199
PZA00166.3	0.00484	-6.5842E-3	-1.305E-2	-4.4798E-3	-2.0676E-2
PZA00166.1	0.01897	-2.8579E-2	0.01001	0.02537	0.00184
PZA02212.1	0.00156	0.00984	-2.1796E-2	1.2828E-4	0.04432
lg2.1	-1.5375E-2	-7.9431E-3	-9.5759E-3	-2.8142E-2	0.01108
lg2.2	-1.8224E-2	-5.512E-3	-8.0838E-3	-2.8867E-2	0.01223
PZB01473.3	-3.2924E-3	-1.1871E-2	-3.9545E-3	-2.1038E-2	0.01169
lg2.12	-5.1991E-3	-1.0665E-2	-3.5599E-3	-2.1146E-2	0.01227
PHM17210.5	0.00741	0.01696	-2.4952E-2	0.00456	-8.5689E-3
PZA01962.12	0.00396	0.02249	-2.3553E-2	-2.6987E-4	-4.5552E-3
PZB01919.2	0.00483	-2.2986E-2	0.04064	0.03539	-1.3039E-2
PZB01919.1	0.00241	0.02141	-2.6049E-2	-1.6302E-3	-6.5608E-3
PZA00482.10	-1.9364E-2	-1.6425E-3	-2.571E-2	0.00708	0.01521
PHM1675.29	0.01263	0.04359	-1.6342E-2	0.00623	0.00302
PZA00107.18	-7.5212E-3	0.00655	-1.0433E-3	-1.5118E-3	0.00239
PZA00107.4	-5.8429E-3	0.04947	-3.9358E-2	-7.2504E-3	-3.3707E-2
PZA03733.2	0.00257	-1.2697E-3	0.04967	-3.6386E-5	-1.2045E-2
PZA03733.1	0.00138	-5.0761E-4	0.04939	-7.7403E-4	-1.1988E-2
PZA03735.1	0.00124	-1.1876E-4	0.04977	-2.6948E-3	-1.3569E-2
PZA00099.6	-1.9299E-2	0.01594	-4.048E-3	0.02272	0.00719
PZA03191.1	0.0263	0.02957	0.03332	-1.6783E-2	0.00928
